"","Name","totalgames","totalxp","totaltime","survivalplayed","survivalxp","survivaltime","survivalkills","brawlers","survivalwins","survivalgold","cagames","catime","cakills","cared","cagreen","cablue","bbgames","bbtime","bbwins","bbgoldlooted","bbgoldstored","bbupgrades","uhcwins","uhckills","uhcdeaths","uhcfalls","uhcgapples","uhcnotchapples","uhcgold","forthehorse","camelotplayed","camelotxp","camelottime","lords","dukes","spartans","castlecaptures","camelotvictories","wizardgames","wizardxp","wizardtime","wizardkills","wizarddeaths","wizardfirst","wizardsecond","wizardthird","wizardtopten","wizardhighest","pjgames","pjxp","pjtime","pjkills","pjdeaths","pjfirst","pjsecond","pjthird","pjtopten","pjhighest","Level"
"293","ChrisRyann","3,846","1,702,415","28d 15h 21m 27s","3,134","383,612","7d 10h 40m 55s","4,761 (37*)","123 (0*)","385","22,024 (242*)","1 (1*)","0d 0h 14m 26s (0d 0h 14m 26s*)","0 (0*)","1 (1*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","2 (2*)","1 (1*)","8 (8*)","1 (1*)","0 (0*)","7 (7*)","0 (0*)","3","4,564","0d 0h 32m 54s","34","","1","4","2","0","205","0d 0h 5m 10s","2 (2*)","3","0","0","0","0","1","11","5,127","0d 1h 38m 37s","148","138","0","0","0","0","32",316
"294","Irrelephant","2,819","336,607","8d 0h 59m 1s","2,758","310,215","7d 5h 49m 11s","4,480 (6*)","155 (0*)","325","17,742 (15*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","9","290","0d 1h 26m 40s","25","9","1","3","2","5","2,020","0d 1h 5m 21s","36 (2*)","36","0","0","0","0","20","24","12,948","0d 2h 50m 19s","331","159","8","0","0","0","32",119
"295","nemoroberts","3,648","387,752","9d 20h 18m 30s","3,587","340,875","8d 4h 27m 12s","5,296 (215*)","136 (5*)","358","16,275 (585*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","3 (3*)","21 (21*)","11 (11*)","171 (171*)","33 (33*)","2 (2*)","536 (536*)","0 (0*)","7","4,923","0d 1h 16m 27s","31","1","","6","4","0","225","0d 0h 8m 13s","3 (0*)","8","0","0","0","0","0","5","1,330","0d 0h 38m 12s","46","48","0","0","0","0","16",131
"296","Ultra_Toad","4,147","436,113","10d 21h 30m 54s","4,074","349,310","9d 4h 28m 9s","5,137 (226*)","18 (0*)","357","16,008 (1,582*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","6","6,636","0d 1h 21m 9s","26","","","7","3","4","1,475","0d 0h 28m 31s","11 (11*)","24","0","0","0","0","10","20","5,080","0d 2h 57m 30s","165","248","1","0","0","0","12",141
"297","Furry__","1,270","929,229","11d 19h 40m 52s","950","218,779","2d 19h 28m 36s","2,258 (2*)","22 (0*)","183","15,141 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","80","50,335","0d 17h 15m 37s","2275","14","25","22","37","94","39,916","0d 20h 8m 56s","1,523 (1,494*)","75","0","3","1","0","89","2","672","0d 0h 20m 1s","30","17","0","0","0","0","15",223
"298","SSiafs","763","163,872","2d 9h 49m 16s","759","160,617","2d 8h 20m 49s","2,800 (0*)","103 (0*)","197","15,086 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0","0","0d 0h 0m 0s","","","","","","0","225","0d 0h 1m 24s","1 (0*)","1","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",74
"299","ap314","955","297,923","3d 2h 28m 23s","923","270,968","2d 17h 9m 41s","3,381 (0*)","115 (0*)","207","14,865 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0","0","0d 0h 0m 0s","","","","","","12","6,627","0d 2h 51m 31s","225 (0*)","93","0","3","0","0","48","7","3,383","0d 0h 59m 2s","147","104","0","1","1","0","35",110
"300","Samara03","1,887","601,217","29d 14h 53m 33s","45","1,755","0d 2h 4m 47s","7 (7*)","0 (0*)","1","0 (0*)","902 (902*)","24d 14h 31m 55s (24d 14h 31m 55s*)","3,690 (3,690*)","232 (232*)","126 (126*)","169 (169*)","30 (30*)","0d 5h 46m 51s (0d 5h 46m 51s*)","14 (14*)","66 (66*)","49 (49*)","80 (80*)","0 (0*)","6 (6*)","19 (19*)","74 (74*)","27 (27*)","0 (0*)","355 (355*)","0 (0*)","33","37,804","0d 8h 19m 13s","171","1","10","53","7","28","6,390","0d 6h 39m 45s","74 (74*)","154","0","0","0","0","24","1","400","0d 0h 10m 3s","1","13","0","0","0","0","0",172
"301","BobFritz","1,148","570,460","24d 7h 26m 54s","261","13,085","0d 13h 44m 39s","81 (55*)","1 (0*)","14","131 (126*)","866 (866*)","22d 21h 10m 48s (22d 21h 10m 48s*)","9,199 (9,199*)","211 (211*)","128 (128*)","158 (158*)","1 (1*)","0d 0h 10m 37s (0d 0h 10m 37s*)","0 (0*)","2 (2*)","1 (1*)","0 (0*)","1 (1*)","1 (1*)","11 (11*)","43 (43*)","9 (9*)","0 (0*)","222 (222*)","0 (0*)","1","454","0d 0h 7m 24s","","","","","","3","1,830","0d 0h 50m 43s","18 (18*)","29","0","0","0","0","3","0","400","0d 0h 14m 51s","9","19","0","0","0","0","0",166
"302","Ultimus_Noobilus","888","592,331","25d 9h 51m 8s","123","3,590","0d 4h 58m 49s","12 (8*)","1 (0*)","3","23 (23*)","700 (700*)","24d 22h 7m 17s (24d 22h 7m 17s*)","1,699 (1,699*)","142 (142*)","136 (136*)","153 (153*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1","260","0d 0h 4m 15s","","","","","","0","200","0d 0h 5m 16s","0 (0*)","5","0","0","0","0","0","1","200","0d 0h 0m 36s","0","1","0","0","0","0","0",170
"303","Flame4Uchiha","583","350,886","14d 6h 9m 16s","4","40","0d 0h 4m 1s","0 (0*)","0 (0*)","0","0 (0*)","559 (559*)","13d 21h 31m 41s (13d 21h 31m 41s*)","2,614 (2,614*)","108 (108*)","83 (83*)","102 (102*)","2 (2*)","0d 0h 23m 5s (0d 0h 23m 5s*)","0 (0*)","0 (0*)","0 (0*)","5 (5*)","0 (0*)","0 (0*)","9 (9*)","38 (38*)","6 (6*)","0 (0*)","99 (99*)","0 (0*)","0","0","0d 0h 0m 0s","","","","","","0","400","0d 0h 15m 25s","3 (3*)","10","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",123
