"","Name","totalgames","totalxp","totaltime","survivalplayed","survivalxp","survivaltime","survivalkills","brawlers","survivalwins","survivalgold","cagames","catime","cakills","cared","cagreen","cablue","bbgames","bbtime","bbwins","bbgoldlooted","bbgoldstored","bbupgrades","uhcwins","uhckills","uhcdeaths","uhcfalls","uhcgapples","uhcnotchapples","uhcgold","forthehorse","camelotplayed","camelotxp","camelottime","lords","dukes","spartans","castlecaptures","camelotvictories","wizardgames","wizardxp","wizardtime","wizardkills","wizarddeaths","wizardfirst","wizardsecond","wizardthird","wizardtopten","wizardhighest","pjgames","pjxp","pjtime","pjkills","pjdeaths","pjfirst","pjsecond","pjthird","pjtopten","pjhighest","Level"
"614","Blazzed","98","45,663","3d 19h 2m 4s","0","0","0d 0h 0m 0s","0 (0*)","0 (0*)","0","0 (0*)","60 (60*)","1d 18h 59m 6s (1d 18h 59m 6s*)","194 (194*)","13 (13*)","10 (10*)","10 (10*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","2 (2*)","6 (6*)","33 (33*)","159 (159*)","69 (69*)","3 (3*)","1,160 (1,160*)","0 (0*)","0","0","0d 0h 0m 0s","","","","","","1","225","0d 0h 15m 0s","4 (4*)","8","0","0","0","0","5","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",28
"615","TheTrekman","245","96,096","4d 19h 39m 18s","114","4,320","0d 5h 9m 16s","38 (32*)","0 (0*)","3","38 (38*)","3 (3*)","0d 3h 51m 28s (0d 3h 51m 28s*)","21 (21*)","2 (2*)","0 (0*)","1 (1*)","2 (2*)","0d 0h 22m 24s (0d 0h 22m 24s*)","1 (1*)","3 (3*)","3 (3*)","4 (4*)","1 (1*)","2 (2*)","10 (10*)","68 (68*)","9 (9*)","3 (3*)","356 (356*)","0 (0*)","5","4,396","0d 1h 3m 36s","29","","4","5","1","1","440","0d 0h 13m 54s","5 (5*)","13","0","0","0","0","8","3","835","0d 0h 39m 15s","28","38","0","0","0","0","3",50
"616","Shadoe","23","7,377","0d 23h 41m 3s","4","165","0d 0h 11m 18s","3 (0*)","0 (0*)","0","0 (0*)","14 (14*)","0d 16h 49m 24s (0d 16h 49m 24s*)","253 (253*)","4 (4*)","2 (2*)","5 (5*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1 (1*)","8 (8*)","3 (3*)","50 (50*)","19 (19*)","3 (3*)","290 (290*)","0 (0*)","0","0","0d 0h 0m 0s","","","","","","0","225","0d 0h 7m 37s","7 (0*)","3","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",5
"617","PureAlpha2","386","23,535","2d 13h 9m 37s","302","13,540","0d 13h 31m 13s","136 (87*)","0 (0*)","12","276 (127*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","28 (28*)","0d 5h 15m 25s (0d 5h 15m 25s*)","20 (20*)","24 (24*)","32 (32*)","90 (90*)","2 (2*)","10 (10*)","26 (26*)","109 (109*)","56 (56*)","3 (3*)","801 (801*)","0 (0*)","0","0","0d 0h 0m 0s","","","","","","0","200","0d 0h 0m 32s","0 (0*)","1","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",16
"618","ferrari_1227","192","9,086","1d 5h 22m 46s","114","4,977","0d 5h 15m 14s","57 (8*)","3 (0*)","3","11 (11*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","8 (8*)","10 (10*)","43 (43*)","54 (54*)","3 (3*)","743 (743*)","0 (0*)","0","0","0d 0h 0m 0s","","","","","","0","200","0d 0h 0m 8s","0 (0*)","0","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",6
"619","BroExpo","403","102,388","4d 1h 24m 37s","181","10,290","0d 7h 52m 36s","82 (72*)","0 (0*)","15","243 (243*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","12 (12*)","0d 2h 12m 21s (0d 2h 12m 21s*)","9 (9*)","21 (21*)","16 (16*)","35 (35*)","3 (3*)","8 (8*)","26 (26*)","211 (211*)","55 (55*)","3 (3*)","1,069 (1,069*)","0 (0*)","37","36,387","0d 7h 45m 20s","210","8","12","46","9","29","7,500","0d 5h 9m 57s","145 (133*)","183","0","0","0","0","31","0","200","0d 0h 4m 57s","0","2","0","0","0","0","0",52
"620","Saden1","1,421","869,326","14d 19h 40m 40s","738","76,860","1d 18h 46m 39s","1,225 (322*)","55 (1*)","79","2,038 (818*)","49 (49*)","1d 16h 20m 51s (1d 16h 20m 51s*)","767 (767*)","10 (10*)","16 (16*)","6 (6*)","15 (15*)","0d 2h 50m 54s (0d 2h 50m 54s*)","20 (20*)","25 (25*)","35 (35*)","113 (113*)","2 (2*)","25 (25*)","9 (9*)","118 (118*)","51 (51*)","3 (3*)","566 (566*)","1 (1*)","265","261,062","2d 5h 19m 11s","3174","331","137","366","100","93","42,535","0d 21h 53m 43s","1,224 (251*)","522","11","11","5","5","57","27","8,760","0d 3h 39m 44s","377","267","6","0","0","0","30",214
"621","SabotageManaic","594","62,135","2d 3h 37m 48s","567","59,700","1d 12h 21m 31s","488 (274*)","3 (0*)","95","1,468 (1,013*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","4 (4*)","14 (14*)","9 (9*)","84 (84*)","31 (31*)","3 (3*)","424 (424*)","0 (0*)","0","0","0d 0h 0m 0s","","","","","","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",36
"622","PadraigB91","742","44,949","4d 3h 11m 57s","653","33,245","1d 6h 19m 25s","233 (194*)","2 (0*)","42","749 (653*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","3 (3*)","7 (7*)","32 (32*)","67 (67*)","88 (88*)","3 (3*)","1,493 (1,493*)","0 (0*)","5","5,260","0d 1h 15m 47s","17","2","","1","1","3","865","0d 0h 36m 24s","13 (13*)","25","0","0","0","0","10","1","200","0d 0h 8m 24s","0","12","0","0","0","0","0",27
"623","jadja","3,023","1,677,032","22d 13h 30m 0s","1,101","163,102","2d 20h 8m 56s","2,105 (15*)","33 (0*)","164","6,769 (27*)","4 (4*)","0d 1h 9m 48s (0d 1h 9m 48s*)","19 (19*)","1 (1*)","3 (3*)","0 (0*)","1 (1*)","0d 0h 10m 33s (0d 0h 10m 33s*)","1 (1*)","2 (2*)","4 (4*)","10 (10*)","1 (1*)","19 (19*)","13 (13*)","118 (118*)","30 (30*)","3 (3*)","411 (411*)","1 (1*)","148","184,949","1d 9h 6m 52s","1337","92","407","234","63","99","42,125","0d 18h 18m 8s","1,302 (640*)","440","5","3","7","4","78","1,040","629,472","6d 1h 35m 36s","27,293","6,593","92","3","1","0","133",314
"624","Pkittycat","844","151,358","4d 1h 36m 5s","728","61,499","1d 20h 43m 40s","643 (26*)","18 (0*)","41","1,038 (29*)","18 (18*)","0d 8h 22m 18s (0d 8h 22m 18s*)","125 (125*)","2 (2*)","5 (5*)","3 (3*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","4 (4*)","7 (7*)","48 (48*)","16 (16*)","0 (0*)","250 (250*)","1 (1*)","12","15,291","0d 3h 26m 11s","108","","1","17","6","16","4,755","0d 2h 55m 54s","82 (78*)","143","0","0","0","0","33","4","1,475","0d 0h 34m 47s","31","51","0","0","0","0","1",70
"625","TheCanadianHero","4,404","1,602,185","22d 10h 21m 8s","2,602","95,590","4d 8h 56m 33s","1,038 (28*)","46 (1*)","66","1,538 (127*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","3 (3*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1,386","1,309,864","12d 11h 16m 23s","13837","3088","220","793","470","181","53,695","1d 6h 46m 41s","735 (735*)","1,240","0","3","0","13","40","24","7,050","0d 3h 28m 21s","75","292","0","0","0","0","5",306
"626","SonnyynnoS","1,661","1,455,787","14d 20h 53m 4s","407","12,580","0d 15h 17m 4s","178 (8*)","5 (0*)","3","3 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","2 (2*)","0d 0h 23m 17s (0d 0h 23m 17s*)","2 (2*)","3 (3*)","4 (4*)","4 (4*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1,175","1,414,206","11d 13h 30m 25s","14950","184","752","2411","508","1","850","0d 0h 4m 35s","0 (0*)","4","0","0","0","0","0","1","800","0d 0h 13m 7s","1","17","0","0","0","0","0",289
"627","Goliashu","1,210","1,430,535","14d 7h 7m 50s","0","0","0d 0h 0m 0s","0 (0*)","0 (0*)","0","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1,119","1,337,156","11d 1h 59m 12s","1392","3319","177","1525","429","1","200","0d 0h 9m 56s","0 (0*)","4","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",287
"628","Phenrear","1,598","2,055,808","17d 23h 7m 56s","39","2,375","0d 2h 48m 5s","22 (0*)","0 (0*)","1","38 (0*)","2 (2*)","0d 1h 33m 4s (0d 1h 33m 4s*)","10 (10*)","0 (0*)","1 (1*)","1 (1*)","2 (2*)","0d 0h 20m 9s (0d 0h 20m 9s*)","2 (2*)","0 (0*)","0 (0*)","4 (4*)","1 (1*)","0 (0*)","1 (1*)","15 (15*)","1 (1*)","0 (0*)","16 (16*)","0 (0*)","1,060","1,470,476","10d 2h 45m 49s","12448","1841","614","1915","444","12","2,795","0d 1h 43m 34s","43 (43*)","86","0","0","0","1","17","7","1,435","0d 1h 2m 9s","54","105","0","0","0","0","3",352
"629","BlacklistOG","1,334","1,400,610","12d 14h 25m 50s","196","9,375","0d 9h 52m 22s","71 (29*)","1 (1*)","8","150 (46*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","1 (1*)","13 (13*)","115 (115*)","8 (8*)","0 (0*)","162 (162*)","0 (0*)","995","1,323,421","10d 7h 26m 29s","10452","362","512","2121","391","86","22,385","0d 19h 23m 46s","395 (395*)","458","0","1","0","0","40","0","200","0d 0h 0m 30s","0","1","0","0","0","0","0",283
"630","TyloNary","1,430","1,736,744","14d 9h 56m 10s","14","547","0d 0h 35m 11s","8 (0*)","1 (0*)","0","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","941","1,583,303","8d 21h 46m 9s","7091","116","1187","1696","433","14","4,175","0d 2h 29m 30s","131 (23*)","115","0","0","0","0","36","2","415","0d 0h 20m 0s","18","33","0","0","0","0","2",320
"631","PunchLine","1,187","1,221,015","12d 3h 4m 4s","28","2,490","0d 1h 33m 56s","20 (0*)","0 (0*)","4","103 (0*)","4 (4*)","0d 2h 9m 30s (0d 2h 9m 30s*)","22 (22*)","1 (1*)","1 (1*)","0 (0*)","1 (1*)","0d 0h 11m 53s (0d 0h 11m 53s*)","1 (1*)","0 (0*)","0 (0*)","7 (7*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","887","1,121,859","9d 4h 39m 5s","6645","729","481","1420","339","142","41,140","1d 1h 22m 56s","1,126 (957*)","531","0","0","2","6","54","9","1,950","0d 1h 16m 14s","55","95","0","0","0","0","14",262
"632","Klastra","1,349","1,021,380","11d 4h 39m 13s","402","29,185","0d 21h 25m 52s","458 (26*)","2 (0*)","17","376 (0*)","89 (89*)","2d 19h 24m 0s (2d 19h 24m 0s*)","675 (675*)","8 (8*)","16 (16*)","28 (28*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","1 (1*)","0 (0*)","0 (0*)","2 (2*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","806","871,819","6d 20h 2m 59s","11182","636","621","1344","330","9","24,360","0d 1h 58m 38s","60 (23*)","55","0","0","0","1","28","7","1,815","0d 0h 40m 28s","25","55","0","0","0","0","2",236
"633","Wspeedy3","1,151","813,143","9d 10h 58m 34s","52","2,260","0d 2h 45m 19s","10 (5*)","0 (0*)","2","18 (18*)","34 (34*)","0d 21h 34m 46s (0d 21h 34m 46s*)","32 (32*)","7 (7*)","6 (6*)","7 (7*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","686","743,138","6d 20h 2m 27s","1752","261","128","663","185","63","14,845","0d 10h 13m 19s","121 (121*)","330","0","0","0","1","28","5","1,000","0d 0h 17m 21s","1","22","0","0","0","0","0",206
"634","Legion_of_Dragon","2,537","1,379,188","21d 14h 44m 40s","908","70,252","1d 19h 41m 31s","996 (5*)","23 (1*)","79","2,294 (42*)","8 (8*)","0d 5h 51m 33s (0d 5h 51m 33s*)","96 (96*)","2 (2*)","0 (0*)","3 (3*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","2 (2*)","2 (2*)","19 (19*)","2 (2*)","0 (0*)","35 (35*)","0 (0*)","647","737,062","6d 4h 25m 5s","3932","323","327","867","293","679","273,990","5d 21h 11m 7s","9,006 (911*)","1,470","66","90","86","16","77","4","1,025","0d 0h 27m 54s","12","31","0","0","0","0","5",281
"635","RMS2000MC","1,546","914,000","8d 22h 47m 22s","716","64,725","1d 11h 16m 58s","865 (408*)","48 (43*)","84","2,600 (1,513*)","6 (6*)","0d 5h 42m 14s (0d 5h 42m 14s*)","56 (56*)","2 (2*)","2 (2*)","2 (2*)","1 (1*)","0d 0h 9m 40s (0d 0h 9m 40s*)","3 (3*)","2 (2*)","3 (3*)","25 (25*)","0 (0*)","6 (6*)","5 (5*)","9 (9*)","4 (4*)","0 (0*)","63 (63*)","0 (0*)","643","805,838","5d 23h 51m 7s","7499","351","510","1142","288","3","1,005","0d 0h 40m 26s","10 (10*)","32","0","0","0","0","1","0","405","0d 0h 7m 25s","3","13","0","0","0","0","1",221
"636","TheHaxIsReal","658","693,629","5d 17h 50m 32s","20","615","0d 0h 37m 31s","13 (2*)","1 (1*)","0","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","605","676,980","5d 11h 19m 19s","7490","227","345","957","234","22","8,515","0d 3h 43m 43s","161 (154*)","122","0","0","0","3","26","1","805","0d 0h 16m 20s","15","22","0","0","0","0","1",187
"637","Abdeali","1,385","1,428,223","18d 15h 37m 52s","129","8,200","0d 6h 24m 14s","102 (23*)","3 (0*)","8","190 (12*)","4 (4*)","0d 2h 54m 57s (0d 2h 54m 57s*)","27 (27*)","1 (1*)","2 (2*)","1 (1*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","2 (2*)","1 (1*)","1 (1*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","591","731,536","5d 13h 40m 38s","2895","2233","290","1192","230","171","46,510","1d 1h 40m 52s","982 (887*)","426","0","0","3","4","46","39","8,110","0d 4h 17m 55s","188","256","0","0","0","0","28",286
"638","headcrabhat","794","766,539","8d 0h 41m 18s","0","0","0d 0h 0m 0s","0 (0*)","0 (0*)","0","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","582","635,536","4d 23h 7m 40s","7466","70","242","451","235","7","2,941","0d 1h 25m 56s","72 (28*)","50","0","0","0","1","19","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",199
"639","Awk_","2,644","1,008,338","18d 5h 50m 34s","670","32,595","1d 3h 54m 49s","337 (259*)","8 (6*)","36","464 (454*)","66 (66*)","1d 22h 48m 13s (1d 22h 48m 13s*)","371 (371*)","11 (11*)","12 (12*)","14 (14*)","21 (21*)","0d 4h 0m 20s (0d 4h 0m 20s*)","18 (18*)","25 (25*)","29 (29*)","47 (47*)","0 (0*)","0 (0*)","1 (1*)","5 (5*)","0 (0*)","0 (0*)","9 (9*)","0 (0*)","568","728,179","5d 9h 19m 12s","371","2370","152","1352","223","108","24,875","0d 17h 58m 59s","520 (520*)","574","0","0","0","1","48","80","18,580","0d 10h 23m 24s","583","640","3","0","0","0","33",234
"640","DenDonut","2,163","1,436,504","23d 2h 45m 37s","766","44,758","1d 13h 49m 35s","674 (0*)","37 (0*)","19","592 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","542","696,806","5d 7h 30m 20s","7292","252","190","578","209","409","178,783","3d 19h 49m 10s","5,451 (2,817*)","2,038","17","20","15","33","81","71","21,051","0d 11h 14m 44s","871","732","2","0","0","0","39",287
"641","Chro_","1,461","922,166","14d 22h 17m 8s","192","7,345","0d 7h 56m 38s","39 (11*)","3 (0*)","6","39 (8*)","15 (15*)","0d 8h 40m 19s (0d 8h 40m 19s*)","157 (157*)","5 (5*)","1 (1*)","3 (3*)","1 (1*)","0d 0h 13m 0s (0d 0h 13m 0s*)","0 (0*)","1 (1*)","0 (0*)","2 (2*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","536","608,214","5d 3h 50m 0s","3972","167","159","681","194","2","5,630","0d 1h 11m 13s","18 (0*)","54","0","0","0","0","3","13","2,685","0d 1h 53m 53s","129","146","0","0","0","0","16",222
"642","Jamman222","602","735,853","6d 23h 44m 51s","5","105","0d 0h 8m 59s","1 (0*)","0 (0*)","0","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","532","643,393","5d 6h 45m 10s","5724","93","175","751","203","2","230","0d 0h 6m 7s","1 (1*)","3","0","0","0","0","6","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",194
"643","Talace","1,255","885,721","14d 21h 0m 38s","236","9,355","0d 9h 38m 22s","169 (0*)","4 (0*)","2","109 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","525","519,998","5d 9h 1m 34s","9943","28","206","589","184","326","107,430","3d 3h 13m 44s","3,522 (3,522*)","1,907","5","0","0","8","63","6","1,860","0d 0h 52m 6s","36","65","0","0","0","0","6",217
"644","Zayrixx","870","717,285","9d 7h 10m 12s","69","4,150","0d 3h 32m 47s","54 (40*)","0 (0*)","4","58 (58*)","45 (45*)","1d 1h 10m 52s (1d 1h 10m 52s*)","241 (241*)","6 (6*)","7 (7*)","21 (21*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","4 (4*)","10 (10*)","73 (73*)","29 (29*)","0 (0*)","319 (319*)","0 (0*)","496","551,652","4d 14h 13m 31s","3254","665","189","849","167","71","20,985","0d 13h 41m 7s","580 (580*)","337","0","0","2","9","49","13","3,030","0d 1h 26m 11s","35","125","0","0","0","0","5",191
"645","MANFAUWA","536","641,053","5d 22h 10m 51s","0","0","0d 0h 0m 0s","0 (0*)","0 (0*)","0","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","495","605,858","4d 20h 36m 19s","818","32","123","697","204","1","200","0d 0h 1m 15s","0 (0*)","1","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",179
"646","01100110111","662","553,444","6d 8h 13m 22s","13","430","0d 0h 45m 37s","2 (0*)","0 (0*)","0","0 (0*)","29 (29*)","1d 6h 12m 30s (1d 6h 12m 30s*)","58 (58*)","5 (5*)","3 (3*)","5 (5*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","460","510,924","4d 8h 58m 58s","1919","242","100","549","164","11","3,145","0d 1h 41m 30s","19 (19*)","64","0","0","0","0","15","31","6,855","0d 3h 59m 17s","108","283","0","0","0","0","12",163
"647","PiePieYa","470","489,767","4d 2h 59m 33s","12","400","0d 0h 29m 55s","6 (0*)","1 (0*)","0","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","458","489,367","4d 2h 26m 40s","3391","354","210","389","171","0","0","0d 0h 0m 0s","0 (0*)","0","0","0","0","0","0","0","0","0d 0h 0m 0s","0","0","0","0","0","0","0",151
"648","LoreenOfTheWest","1,126","857,799","13d 4h 28m 40s","137","3,900","0d 5h 19m 30s","32 (0*)","2 (0*)","2","11 (0*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","11 (11*)","0d 2h 0m 6s (0d 2h 0m 6s*)","6 (6*)","13 (13*)","11 (11*)","38 (38*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","432","521,840","4d 7h 33m 28s","3615","193","140","687","166","35","8,510","0d 6h 18m 48s","92 (25*)","223","0","0","0","0","23","13","3,240","0d 1h 41m 54s","46","154","0","0","0","0","3",213
"649","SilentBread","641","547,432","6d 6h 20m 55s","55","1,930","0d 2h 18m 45s","8 (1*)","0 (0*)","2","9 (0*)","49 (49*)","1d 3h 40m 16s (1d 3h 40m 16s*)","105 (105*)","10 (10*)","5 (5*)","12 (12*)","15 (15*)","0d 2h 50m 56s (0d 2h 50m 56s*)","6 (6*)","1 (1*)","2 (2*)","10 (10*)","0 (0*)","0 (0*)","4 (4*)","33 (33*)","2 (2*)","0 (0*)","0 (0*)","0 (0*)","416","506,141","4d 7h 37m 19s","101","1132","71","843","127","17","4,655","0d 3h 35m 42s","63 (63*)","152","0","0","0","0","17","0","200","0d 0h 2m 16s","0","4","0","0","0","0","0",162
"650","dolfly","1,838","863,920","15d 11h 15m 51s","439","19,550","0d 18h 26m 54s","248 (69*)","11 (2*)","15","150 (61*)","13 (13*)","0d 10h 51m 14s (0d 10h 51m 14s*)","34 (34*)","1 (1*)","1 (1*)","2 (2*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","1 (1*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","6 (6*)","28 (28*)","3 (3*)","0 (0*)","60 (60*)","0 (0*)","415","412,298","3d 15h 45m 36s","986","654","90","509","144","263","76,535","2d 1h 31m 36s","1,955 (1,951*)","1,325","1","0","2","11","52","531","168,980","3d 3h 33m 8s","7,177","3,820","49","2","4","1","61",214
"651","Skip2010","945","933,398","10d 10h 28m 21s","175","11,641","0d 7h 25m 48s","240 (0*)","6 (0*)","4","110 (0*)","3 (3*)","0d 1h 45m 46s (0d 1h 45m 46s*)","47 (47*)","0 (0*)","1 (1*)","2 (2*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","403","469,525","3d 8h 47m 16s","2552","2420","152","474","162","36","18,705","0d 6h 55m 51s","399 (149*)","232","1","2","0","6","52","81","34,072","0d 9h 34m 0s","1,165","634","14","2","2","0","54",224
"652","Kookieee","935","615,164","6d 21h 28m 6s","447","30,500","0d 22h 44m 31s","344 (230*)","0 (0*)","35","897 (597*)","23 (23*)","0d 14h 45m 27s (0d 14h 45m 27s*)","235 (235*)","6 (6*)","3 (3*)","11 (11*)","0 (0*)","0d 0h 0m 0s (0d 0h 0m 0s*)","0 (0*)","0 (0*)","0 (0*)","3 (3*)","0 (0*)","0 (0*)","0 (0*)","1 (1*)","0 (0*)","0 (0*)","0 (0*)","0 (0*)","401","478,180","3d 20h 29m 23s","4807","302","181","763","153","4","1,350","0d 0h 43m 8s","12 (12*)","25","0","0","0","0","12","1","200","0d 0h 0m 27s","0","1","0","0","0","0","0",174
